Images processed: 138
Total before: 46.37 MB
Total after:  20.02 MB
Saved:        26.36 MB  (56.8%)

File                                                 Before      After      Saved  Note
credit-secrets-of-elephants.jpg                       185 KB      185 KB        0 KB  jpeg
feat-3-secrets-of-the-elephants.jpg                   185 KB      185 KB        0 KB  jpeg
credit-seat-at-the-table.jpg                          145 KB      145 KB        0 KB  jpeg
aerial-migration-mara.jpg                             108 KB      108 KB        0 KB  jpeg
credit-fearless-chef.jpg                              116 KB      116 KB        0 KB  jpeg
aerial-remote-camp.jpg                                342 KB      341 KB        0 KB  jpeg
credit-poacher.jpg                                     22 KB       22 KB        0 KB  jpeg
bts-earth-at-night.jpg                                395 KB      395 KB        0 KB  jpeg
credit-dynasties-ii.jpg                                92 KB       92 KB        0 KB  jpeg
credit-rendezvous.jpg                                 136 KB      136 KB        0 KB  jpeg
credit-perfect-planet.jpg                              20 KB       20 KB        0 KB  jpeg
body-btj-7717.jpg                                     222 KB      222 KB        0 KB  jpeg
credit-africa-from-above.jpg                          107 KB      107 KB        0 KB  jpeg
body-crested-crane.jpg                                493 KB      493 KB        0 KB  jpeg
bts-elephants-sunset.jpg                              318 KB      318 KB        0 KB  jpeg
feat-3-helicopter-elephants.jpg                       318 KB      318 KB        0 KB  jpeg
credit-story-of-us.jpg                                 13 KB       13 KB        0 KB  jpeg
credit-wild-babies.jpg                                 38 KB       38 KB        0 KB  jpeg
credit-queens.jpg                                      55 KB       55 KB        0 KB  jpeg
credit-cheli-peacock.jpg                               66 KB       66 KB        0 KB  jpeg
credit-earth-at-night.jpg                              19 KB       19 KB        0 KB  jpeg
credit-tiny-world.jpg                                  15 KB       15 KB        0 KB  jpeg
credit-ecosphere.jpg                                   24 KB       24 KB        0 KB  jpeg
hero-1-drone-bob-poole.jpg                            191 KB      191 KB        0 KB  jpeg
credit-earth-from-space.jpg                            21 KB       21 KB        0 KB  jpeg
credit-a-life-on-our-planet.jpg                        20 KB       20 KB        0 KB  jpeg
feat-1-a-life-on-our-planet.jpg                        20 KB       20 KB        0 KB  jpeg
aerial-dune-landscape.jpg                             186 KB      186 KB        0 KB  jpeg
body-coastal-aerial.jpg                               304 KB      304 KB        0 KB  jpeg
credit-equator-from-the-air.jpg                        19 KB       19 KB        0 KB  jpeg
bts-elephants-aerial.jpg                              386 KB      386 KB        0 KB  jpeg
feat-1-elephants-aerial.jpg                           386 KB      386 KB        0 KB  jpeg
bts-helicopter-crew.jpg                               163 KB      163 KB        0 KB  jpeg
feat-2-helicopter-crew.jpg                            163 KB      163 KB        0 KB  jpeg
credit-our-changing-planet.jpg                         28 KB       28 KB        0 KB  jpeg
credit-seven-worlds.jpg                                21 KB       21 KB        0 KB  jpeg
feat-4-seven-worlds-one-planet.jpg                     21 KB       21 KB        0 KB  jpeg
logo.png                                               23 KB       23 KB        0 KB  skip-logo
logo.svg                                                0 KB        0 KB        0 KB  skip-svg
test-rename-dst.txt                                     0 KB        0 KB        0 KB  error-open:cannot identify image file '/sessions/exciting-quirky-goldberg/mnt/Highly Visual/build/site/public/img/test-rename-dst.txt'
body-storm-landscape.jpg                               99 KB       99 KB       -0 KB  jpeg
heli-cabin-dusk.jpg                                   204 KB      204 KB       -0 KB  jpeg
credit-prodigies.jpg                                   15 KB       15 KB       -0 KB  jpeg
bts-launching-mavic.jpg                               445 KB      445 KB       -0 KB  jpeg
hero-2-serval.jpg                                     782 KB      782 KB       -0 KB  jpeg
drone-flamingos.jpg                                    54 KB       54 KB       -0 KB  jpeg
hero-3-canoes.jpg                                     669 KB      669 KB       -0 KB  jpeg
body-storm.jpg                                        394 KB      394 KB       -0 KB  jpeg
feat-4-heron.jpg                                       71 KB       71 KB       -0 KB  jpeg
credit-endangered-species.jpg                         113 KB      113 KB       -0 KB  jpeg
body-cheetah.jpg                                      108 KB      109 KB       -1 KB  jpeg
sup-3-coastal-aerial.jpg                              209 KB      304 KB      -94 KB  resized 2000px→1800px,jpeg
